player name,def_cluster
Oliver Bieshaar,B
Miguel Martinez Hernandez,A
Isaac Mayo Schwandt,A
Eduard Arques Lopez,B
Ondrej Hustak,B
Alejandro Llorca Castillo,A
Sergio Mendiola,B
Nelson Yengue,A
Omar Lo,A
Nolan Patrick Bertain,A
Souleymane Traore,B
Adria Hernandez,A
Antonio Jose Morales Ros,A
Javier Dalmau Roig,A
Franger Jesus Pirela Perez,A
Marc Garcia Calvo,A
Jordi Grimau,B
Ervins Jonats,B
Pol Molins Calderon,A
Thomas Smallwood,B
Diego Gallardo,A
Lang Acoydan McCarthy,A
Didac Cuevas Simarro,A
Alex Tamayo,A
Aleix Haro Val,A
Emilio Martinez,A
Victor Aguiler Hernandez,A
Nedim Dedovic,A
Ignacio Arroyo Varela,A
Garmine Kande Kieli,B
David Font Rodriguez,A
Peter Stumer,A
Diego Alderete Diaz,A
Johan Ernest Bitjaa Kody,B
Ismael Tamba,A
Rodrigo Seoane,A
Isaiah Powell,A
Nyameye Adom,A
Abdou Thiam,A
Pa Mor Diene,A
Pablo Marin Fontan,A
Quim Salvans Hidalgo,A
Kevin Navarro Arrue,A
Alvaro Martinez Clariana,A
Sediq Garuba,A
Tomislav Mihael Buljan,B
Lucas Sigismonti,A
Jordi Rodriguez Stegemeijer,A
Viktor Kovacevic,A
Gerard Jofresa Sarret,A
Josep Peris Crespo,A
Gerard Sevillano,B
Adnan Omeragic,A
Zarko Jukic,A
Maxim Esteban Calvo,A
Jhery Raul Matos Ramirez,A
Joseph Robert Cremo,A
Pau Carreno,A
Milan Suskavcevic,A
Adrian Mendez Carrion,A
Jahvaughn Powell,A
Fausto Ruesga,A
Carles Marzo,A
